normalized_area,display_area,total_appearances,member_count,member_names
black peoples health racialized peoples health health equity immigrant health intersectionality,black peoples health racialized peoples health health equity immigrant health intersectionality,1,1,Oluwabukola Salami
e capacity building of community leaders black led organizations and emerging academics,"(e) capacity-building of community leaders, black-led organizations, and emerging academics",1,1,Oluwabukola Salami
policy forum stakeholder engagement days conference and knowledge hub will also mobilize knowledge,"policy forum, stakeholder engagement days, conference, and knowledge hub will also mobilize knowledge",1,1,Oluwabukola Salami
historically black people have experienced poorer health outcomes than other populations,"historically, black people have experienced poorer health outcomes than other populations",1,1,Oluwabukola Salami
video and policy brief,video and policy brief,1,1,Oluwabukola Salami
youth in canada,youth in canada,1,1,Oluwabukola Salami
youths more often live in poverty,youths more often live in poverty,1,1,Oluwabukola Salami
youths 0 to 24 years in canada,youths (0 to 24 years) in canada,1,1,Oluwabukola Salami
build capacity by engaging researchers,build capacity—by engaging researchers,1,1,Oluwabukola Salami
service providers across canada,service providers across canada,1,1,Oluwabukola Salami
black youths facilitating their transition to academic,black youths—facilitating their transition to academic,1,1,Oluwabukola Salami
000 youths,000 youths,1,1,Oluwabukola Salami
c a national mentorship program for black youth,(c) a national mentorship program for black youth,1,1,Oluwabukola Salami
youth wellbeing study,youth wellbeing study,1,1,Oluwabukola Salami
practice guidelines,practice guidelines,1,1,Oluwabukola Salami
number of students trained disaggregated by race gender,"number of students trained (disaggregated by race, gender",1,1,Oluwabukola Salami
health service use,health service use,1,1,Oluwabukola Salami
face severe outcomes compared to their white counterparts,face severe outcomes compared to their white counterparts,1,1,Oluwabukola Salami
other health determinants for black people in canada,other health determinants for black people in canada,1,1,Oluwabukola Salami
poorer breast cancer related outcomes,poorer breast cancer-related outcomes,1,1,Oluwabukola Salami
highlights the importance of engaging black women,highlights the importance of engaging black women,1,1,Oluwabukola Salami
mental health therapist,mental health therapist,1,1,Oluwabukola Salami
also provide cancer prevention support,also provide cancer prevention support,1,1,Oluwabukola Salami
parkinsons disease,parkinsons disease,1,1,Oury Monchi
early onset dementia,early onset dementia,1,1,Pamela Roach
specifically brain health,specifically brain health,1,1,Pamela Roach
intermittent hypoxia in the cardiovascular,intermittent hypoxia in the cardiovascular,1,1,Patrick Joseph Hanly
cerebrovascular complications of sleep apnea,cerebrovascular complications of sleep apnea,1,1,Patrick Joseph Hanly
pathogenesis of sleep apnea,pathogenesis of sleep apnea,1,1,Patrick Joseph Hanly
evaluation of novel therapy,evaluation of novel therapy,1,1,Patrick Joseph Hanly
sleep apnea and kidney failure,sleep apnea and kidney failure,1,1,Patrick Joseph Hanly
sleep apnea and heart failure,sleep apnea and heart failure,1,1,Patrick Joseph Hanly
evaluation of novel therapy sleep apnea,evaluation of novel therapy sleep apnea,1,1,Patrick Joseph Hanly
kidney failure sleep apnea,kidney failure sleep apnea,1,1,Patrick Joseph Hanly
sleep medicine physician,sleep medicine physician,1,1,Patrick Joseph Hanly
clinical researcher,clinical researcher,1,1,Patrick Joseph Hanly
have included the pathogenesis,have included the pathogenesis,1,1,Patrick Joseph Hanly
obstructive sleep apnea,obstructive sleep apnea,1,1,Patrick Joseph Hanly
sleep in hospitalized,sleep in hospitalized,1,1,Patrick Joseph Hanly
pathogenesis of long term complications,pathogenesis of long-term complications,1,1,Patrick Joseph Hanly
parallel dopaminergic pathway,parallel dopaminergic pathway,1,1,Patrick Whelan
zelma kiss from the field of clinical neurosciences,zelma kiss from the field of clinical neurosciences,1,1,Patrick Whelan
alex mcgirr from the clinical neurosciences,alex mcgirr from the clinical neurosciences,1,1,Patrick Whelan
initiation challenges as significant indicators of brain dysfunction,initiation challenges as significant indicators of brain dysfunction,1,1,Patrick Whelan
development within the faculty of veterinary medicine,development within the faculty of veterinary medicine,1,1,Patrick Whelan
spinal cord injuries,spinal cord injuries,1,1,Patrick Whelan
overarching aim is to lead the development of therapeutics,overarching aim is to lead the development of therapeutics,1,1,Patrick Whelan
these studies offer valuable insights into developmental disorders,these studies offer valuable insights into developmental disorders,1,1,Patrick Whelan
how genetic,how genetic,1,1,Paul Arnold
function in children with mental illnesses,function in children with mental illnesses,1,1,Paul Arnold
research behaviour brain mental health mental illness genomics activities dr,research behaviour brain mental health mental illness genomics activities dr,1,1,Paul Arnold
genetic influences on brain structure and function in children with mental illnesses,genetic influences on brain structure and function in children with mental illnesses,1,1,Paul Arnold
behaviour brain mental health mental illness genomics activities dr,behaviour brain mental health mental illness genomics activities dr,1,1,Paul Arnold
research areas of research behaviour brain mental health mental illness genomics activities dr,research areas of research behaviour brain mental health mental illness genomics activities dr,1,1,Paul Arnold
sterile injury,sterile injury,1,1,Paul Kubes
cone photoreceptor vision,cone photoreceptor vision,1,1,Paul Schnetkamp
antigen specific therapy,antigen-specific therapy,1,1,Pedro Santamaria
journal of experimental medicine,journal of experimental medicine,1,1,Pedro Santamaria
developmental control of cd8 t cell avidity maturation in autoimmune diabetes,developmental control of cd8+ t-cell avidity maturation in autoimmune diabetes,1,1,Pedro Santamaria
young adult psychosocial oncology,young adult psychosocial oncology,1,1,Perri Tutelman
digital mental health,digital mental health,1,1,Perri Tutelman
young adults diagnosed with cancer,young adults diagnosed with cancer,1,1,Perri Tutelman
and young adult psychosocial oncology,and young adult psychosocial oncology,1,1,Perri Tutelman
young adult psychosocial oncology digital mental health,young adult psychosocial oncology digital mental health,1,1,Perri Tutelman
child adolescent and young adult psychosocial oncology digital mental health,"child, adolescent, and young adult psychosocial oncology digital mental health",1,1,Perri Tutelman
glial cells in the mammalian nervous system,glial cells in the mammalian nervous system,1,1,Peter Stys
injury mechanisms,injury mechanisms,1,1,Peter Stys
mri surrogates of cerebrovascular disease,mri surrogates of cerebrovascular disease,1,1,Philip Barber
on a more fundamental level my research aims at better,"on a more fundamental level, my research aims at better",1,1,Pierre LeVan
functional mri acquisition and processing,functional mri acquisition and processing,1,1,Pierre LeVan
representation learning,representation learning,1,1,Qingrun Zhang
representation learning discover associations,representation learning discover associations,1,1,Qingrun Zhang
representation learning discover associations and causal factors in multi scale omics data,representation learning discover associations and causal factors in multi-scale omics data,1,1,Qingrun Zhang
synaptic and neuronal function,synaptic and neuronal function,1,1,Quentin Jerome Pittman
behavior to cellular studies of morphological,behavior to cellular studies of morphological,1,1,Quentin Jerome Pittman
synaptic properties of individual cells,synaptic properties of individual cells,1,1,Quentin Jerome Pittman
canadian academy of health sciences,canadian academy of health sciences,1,1,Quentin Jerome Pittman
american physiological society,american physiological society,1,1,Quentin Jerome Pittman
aside from neuroscience,aside from neuroscience,1,1,Quentin Jerome Pittman
nerve injury,nerve injury,1,1,Rajiv Midha
nerve regeneration,nerve regeneration,1,1,Rajiv Midha
improving outcome after nerve surgery,improving outcome after nerve surgery,1,1,Rajiv Midha
involves rodent models of nerve injury,involves rodent models of nerve injury,1,1,Rajiv Midha
regeneration at the hbi,regeneration at the hbi,1,1,Rajiv Midha
advanced imaging,advanced imaging,1,1,Rajiv Midha
several innovative behavioral techniques to assay outcomes,several innovative behavioral techniques to assay outcomes,1,1,Rajiv Midha
dept of clinical neurosciences dcns,dept of clinical neurosciences (dcns),1,1,Rajiv Midha
alberta health services calgary zone,alberta health services (calgary zone),1,1,Rajiv Midha
mostly related to peripheral nerve neurobiology,mostly related to peripheral nerve neurobiology,1,1,Rajiv Midha
world neurosurgery,world neurosurgery,1,1,Rajiv Midha
schwann cells,schwann cells,1,1,Rajiv Midha
advanced tissue imaging,advanced tissue imaging,1,1,Rajiv Midha
schwann cell therapies for nerve repair,schwann cell therapies for nerve repair,1,1,Rajiv Midha
connective tissue disorders,connective tissue disorders,1,1,Ranita Manocha
she has investigated how hypermobility spectrum disorders,she has investigated how hypermobility spectrum disorders,1,1,Ranita Manocha
rehabilitation studies,rehabilitation studies,1,1,Ranita Manocha
health sciences,health sciences,1,1,Ranita Manocha
occupational therapy,occupational therapy,1,1,Ranita Manocha
physical therapy,physical therapy,1,1,Ranita Manocha
family medicine,family medicine,1,1,Ranita Manocha
vascular surgery,vascular surgery,1,1,Ranita Manocha
management of connective tissue disorders in southern alberta,management of connective tissue disorders in southern alberta,1,1,Ranita Manocha
clinical professional awareness of the pm r specialty,clinical professional awareness of the pm&r specialty,1,1,Ranita Manocha
study participants please click here for more information,study participants please click here for more information,1,1,Ranita Manocha
please click here for more information,please click here for more information,1,1,Ranita Manocha
fundamental msk research,fundamental msk research,1,1,Ranita Manocha
youth complete health research program amid pandemic restrictions,youth complete health research program amid pandemic restrictions,1,1,Ranita Manocha
one step at a time physiatrist focused on fundamental msk research,one step at a time: physiatrist focused on fundamental msk research,1,1,Ranita Manocha
metabolites out of the cell,metabolites out of the cell,1,1,Raymond Turner
biogenic quantum dots,biogenic quantum dots,1,1,Raymond Turner
we also study multidrug resistance efflux transporters,we also study multidrug resistance efflux transporters,1,1,Raymond Turner
resistance to various metals to environmental and medically important microbes,resistance to various metals to environmental and medically important microbes,1,1,Raymond Turner
acute spinal cord injury,acute spinal cord injury,1,1,Rebecca Charbonneau
neurogenic bladder and pressure injuries,neurogenic bladder and pressure injuries,1,1,Rebecca Charbonneau
neurogenic bladder,neurogenic bladder,1,1,Rebecca Charbonneau
clinical interest in the prevention,clinical interest in the prevention,1,1,Rebecca Charbonneau
management of complications following spinal cord injury,management of complications following spinal cord injury,1,1,Rebecca Charbonneau
body adaptive devices designed to non invasively track physiological,body-adaptive devices designed to non-invasively track physiological,1,1,Richa Pandey
healthcare providers with personalized,healthcare providers with personalized,1,1,Richa Pandey
global health crises,global health crises,1,1,Richa Pandey
environmental sample types we design bioreceptors,environmental sample types we design bioreceptors,1,1,Richa Pandey
gather a wealth of molecular,gather a wealth of molecular,1,1,Richa Pandey
involves high performance material development,involves high-performance material development,1,1,Richa Pandey
off field personnel health monitoring,off-field personnel health monitoring),1,1,Richa Pandey
personal care wearables for mental health,personal care (wearables for mental health),1,1,Richa Pandey
culture free bacterial detection,culture-free bacterial detection,1,1,Richa Pandey
wash free electrochemical quantification of the bacteria,wash free electrochemical quantification of the bacteria,1,1,Richa Pandey
in in vitro cellular developmental biology plant,in: in vitro cellular & developmental biology-plant,1,1,Richa Pandey
revolutionizing real time health monitoring wearable biosensors,revolutionizing real-time health monitoring: wearable biosensors,1,1,Richa Pandey
more information research activity certainly,more information research activity certainly,1,1,Richa Pandey
in thouand g eds handbook of cell biosensors,in: thouand g. (eds) handbook of cell biosensors,1,1,Richa Pandey
fundamentally her research involves high performance material development device engineering and biomolecule electronics integration,"fundamentally, her research involves high-performance material development, device engineering, and biomolecule-electronics integration",1,1,Richa Pandey
anatomical methods such as anterograde tracer transport,anatomical methods such as anterograde tracer transport,1,1,Richard Bernard Hawkes
pharmacological interventions in normal development,pharmacological interventions in normal development,1,1,Richard Bernard Hawkes
dissociated neurons,dissociated neurons,1,1,Richard Bernard Hawkes
surgical and pharmacological interventions in normal development,surgical and pharmacological interventions in normal development,1,1,Richard Bernard Hawkes
culture of cerebellar slices and dissociated neurons,culture of cerebellar slices and dissociated neurons,1,1,Richard Bernard Hawkes
molecular biology techniques to approach these issues,molecular biology techniques to approach these issues,1,1,Richard Bernard Hawkes
in the nervous system,in the nervous system,1,1,Richard Bernard Hawkes
interposed by similar stripes of unlabelled cells,interposed by similar stripes of unlabelled cells,1,1,Richard Bernard Hawkes
development of the mammalian cerebellum,development of the mammalian cerebellum,1,1,Richard Bernard Hawkes
identified it as a key mammalian epilepsy locus,identified it as a key mammalian epilepsy locus,1,1,Richard Bernard Hawkes
1 how are the zebrin bands generated during development,1) how are the zebrin bands generated during development?,1,1,Richard Bernard Hawkes
anatomical methods such as anterograde tracer transport immunocytochemistry and in situ hybridization,"anatomical methods such as anterograde tracer transport, immunocytochemistry, and in situ hybridization",1,1,Richard Bernard Hawkes
zinc neurobiology,zinc neurobiology,1,1,Richard Dyck
cerebral cortical development,cerebral cortical development,1,1,Richard Dyck
potentiate neuronal survival,potentiate neuronal survival,1,1,Richard Dyck
synaptic zinc in the brain cerebral cortical development,synaptic zinc in the brain cerebral cortical development,1,1,Richard Dyck
synaptic zinc in the brain,synaptic zinc in the brain,1,1,Richard Dyck
behavioural approaches in animal models in order,behavioural approaches in animal models in order,1,1,Richard Dyck
cerebral cortical development and plasticity,cerebral cortical development and plasticity,1,1,Richard Dyck
recovery after brain injury,recovery after brain injury,1,1,Richard Dyck
sensory inputs learning drugs hormones injury etc throughout our lifetime,"sensory inputs, learning, drugs/hormones, injury, etc.) throughout our lifetime",1,1,Richard Dyck
synaptic connectivity of the cortex is particularly malleable during early periods of postnatal development,synaptic connectivity of the cortex is particularly malleable during early periods of postnatal development,1,1,Richard Dyck
application of new imaging techniques,application of new imaging techniques,1,1,Richard Frayne
treatment of neurovascular disease,treatment of neurovascular disease,1,1,Richard Frayne
brain cancer,brain cancer,1,1,Richard Frayne
and epilepsy,and epilepsy,1,1,Richard Frayne
brain cancer bridging natural science,brain cancer bridging natural science,1,1,Richard Frayne
small vessel disease,small vessel disease,1,1,Richard Frayne
other imaging techniques,other imaging techniques,1,1,Richard Frayne
research development,research development,1,1,Richard Frayne
development and application of new imaging techniques and tools in humans,development and application of new imaging techniques and tools in humans,1,1,Richard Frayne
biomedical engineering graduate program,biomedical engineering graduate program,1,1,Richard Frayne
cardiorespiratory control neuronal circuits,cardiorespiratory control: neuronal circuits,1,1,Richard James Alfred Wilson
cellular sensors,cellular sensors,1,1,Richard James Alfred Wilson
sympathetic and parasympathetic nervous systems,sympathetic and parasympathetic nervous systems,1,1,Richard James Alfred Wilson
comparative physiology,comparative physiology,1,1,Richard James Alfred Wilson
translation and drug discovery,translation and drug discovery,1,1,Richard James Alfred Wilson
functional optical coherence tomography foct,functional optical coherence tomography (foct),1,1,Richard James Alfred Wilson
developing novel experimental preparations,developing novel experimental preparations,1,1,Richard James Alfred Wilson
medical technologies for monitoring physiological function e,medical technologies for monitoring physiological function (e,1,1,Richard James Alfred Wilson
how the nervous system controls the cardiorespiratory system,how the nervous system controls the cardiorespiratory system,1,1,Richard James Alfred Wilson
one of the nervous systems most important roles,one of the nervous systems most important roles,1,1,Richard James Alfred Wilson
cardiorespiratory control neuronal circuits and cellular sensors,cardiorespiratory control: neuronal circuits and cellular sensors,1,1,Richard James Alfred Wilson
asthma pharmaceutical therapy neo6860 www,asthma pharmaceutical therapy: neo6860 www,1,1,Richard James Alfred Wilson
more information founder,more information founder,1,1,Richard James Alfred Wilson
developmental origins of neuroplasticity,developmental origins of neuroplasticity,1,1,Richelle Mychasiuk
susceptibility for neurodevelopmental disorders,susceptibility for neurodevelopmental disorders,1,1,Richelle Mychasiuk
early developmental programming events,early developmental programming events,1,1,Richelle Mychasiuk
neuroplasticity neurodevelopment activities dr,neuroplasticity neurodevelopment activities dr,1,1,Richelle Mychasiuk
mychasiuk s key research interests are in the area of developmental origins of neuroplasticity,mychasiuk’s key research interests are in the area of developmental origins of neuroplasticity,1,1,Richelle Mychasiuk
es on the relationship between early developmental programming events and susceptibility for neurodevelopmental disorders,es on the relationship between early developmental programming events and susceptibility for neurodevelopmental disorders,1,1,Richelle Mychasiuk
research neuroplasticity neurodevelopment activities dr,research neuroplasticity neurodevelopment activities dr,1,1,Richelle Mychasiuk
health inequities research,health inequities research,1,1,Rita Henderson
clinical intervention research,clinical intervention research,1,1,Rita Henderson
focuses primarily on indigenous health,focuses primarily on indigenous health,1,1,Rita Henderson
namely around sexual health,namely around sexual health,1,1,Rita Henderson
inuit health branch of health canada,inuit health branch of health canada,1,1,Rita Henderson
indigenous health strategic clinical network,indigenous health strategic clinical network,1,1,Rita Henderson
background is in the social sciences and health inequities research,background is in the social sciences and health inequities research,1,1,Rita Henderson
program focuses primarily on indigenous health,program focuses primarily on indigenous health,1,1,Rita Henderson
mr imaging,mr imaging,1,1,Robert James Sevick
sevick currently practices diagnostic neuroradiology,sevick currently practices diagnostic neuroradiology,1,1,Robert James Sevick
interventional spine therapy in calgary,interventional spine therapy in calgary,1,1,Robert James Sevick
drug interactions of a single molecule,drug interactions of a single molecule,1,1,Robert John French
from single channels reconstituted into lipid bilayers,from single channels reconstituted into lipid bilayers,1,1,Robert John French
drug interactions,drug interactions,1,1,Robert John French
variants of these toxins,variants of these toxins,1,1,Robert John French
molecular mechanisms among proteins,molecular mechanisms among proteins,1,1,Robert John French
research molecular mechanisms among proteins,research molecular mechanisms among proteins,1,1,Robert John French
ageing and dementia,ageing and dementia,1,1,Roberto Souza
chronic opioid therapy,chronic opioid therapy,1,1,Robert Tanguay
opioid use disorder,opioid use disorder,1,1,Robert Tanguay
current recipient of suap grant with health canada for indigenous opioid use disorder treatment,current recipient of suap grant with health canada for indigenous opioid use disorder treatment,1,1,Robert Tanguay
dendritic cells,dendritic cells,1,1,Robin Yates
dissect pathways,dissect pathways,1,1,Robin Yates
since phagosomes play key roles in numerous physiologies,since phagosomes play key roles in numerous physiologies,1,1,Robin Yates
adaptive immunity with implications to aging,adaptive immunity with implications to aging,1,1,Robin Yates
infectious disease,infectious disease,1,1,Robin Yates
autoimmune disorders,autoimmune disorders,1,1,Robin Yates
such as multiple sclerosis,such as multiple sclerosis,1,1,Robin Yates
excellence from the faculty of veterinary medicine,excellence from the faculty of veterinary medicine,1,1,Robin Yates
neuromuscular diseases,neuromuscular diseases,1,1,Rodney Li Pi Shan
neuromusculoskeletal disorders,neuromusculoskeletal disorders,1,1,Rodney Li Pi Shan
neuromuscular diseases with als in particular,neuromuscular diseases with als in particular,1,1,Rodney Li Pi Shan
use of ultrasound in neuromusculoskeletal disorders,use of ultrasound in neuromusculoskeletal disorders,1,1,Rodney Li Pi Shan
has focused on brain injury,has focused on brain injury,1,1,Rodney Li Pi Shan
fundamentals of synaptic plasticity,fundamentals of synaptic plasticity,1,1,Roger Thompson
lab uses state of the art electrophysiology,lab uses state of the art electrophysiology,1,1,Roger Thompson
molecular biology techniques to elucidate the diverse neuronal,molecular biology techniques to elucidate the diverse neuronal,1,1,Roger Thompson
pannexin 1 in cell death,pannexin-1 in cell death,1,1,Roger Thompson
how environmental,how environmental,1,1,Roger Thompson
glutamate receptors in neuronal death,glutamate receptors in neuronal death,1,1,Roger Thompson
motor neurons during voluntary movement,motor neurons during voluntary movement,1,1,Ryan Peters
both healthy older adults,both healthy older adults,1,1,Ryan Peters
neuroscience motor control activities dr,neuroscience - motor control activities dr,1,1,Ryan Peters
individuals suffering from neurological disorders e g diabetic,"individuals suffering from neurological disorders (e. g., diabetic",1,1,Ryan Peters
track neurological function,track neurological function,1,1,Ryan Peters
endocytic tracking in neurons,endocytic tracking in neurons,1,1,Sabine Gilch
cell lines,cell lines,1,1,Sabine Gilch
prion and prion like diseases,prion and prion-like diseases,1,1,Sabine Gilch
focused ultrasound as non invasive treatment for brain disorders,focused ultrasound as non-invasive treatment for brain disorders,1,1,Samuel Pichardo
development of magnetic resonance guided techniques for the targeting,development of magnetic resonance-guided techniques for the targeting,1,1,Samuel Pichardo
clinical translation of fus applications,clinical translation of fus applications,1,1,Samuel Pichardo
treatment of brain disorders,treatment of brain disorders,1,1,Samuel Pichardo
clinical trials for very diversified indications,clinical trials for very diversified indications,1,1,Samuel Pichardo
rectal cancer,rectal cancer,1,1,Samuel Pichardo
he comes with significant pre clinical,he comes with significant pre-clinical,1,1,Samuel Pichardo
monitoring of therapy based on fus,monitoring of therapy based on fus,1,1,Samuel Pichardo
therapeutic tool for neuromodulation applications,therapeutic tool for neuromodulation applications,1,1,Samuel Pichardo
brain tumour stem cell biology,brain tumour stem cell biology,1,1,Samuel Weiss
in the intact brain,in the intact brain,1,1,Samuel Weiss
adult mammalian from rodent to human brain,adult mammalian (from rodent to human) brain,1,1,Samuel Weiss
therapeutic resistance,therapeutic resistance,1,1,Samuel Weiss
genomic approaches,genomic approaches,1,1,Samuel Weiss
therapeutic response in vitro,therapeutic response in vitro,1,1,Samuel Weiss
develop novel experimental therapeutics for the disease,develop novel experimental therapeutics for the disease,1,1,Samuel Weiss
brain tumour stem cell biology experimental therapeutics,brain tumour stem cell biology experimental therapeutics,1,1,Samuel Weiss
mental health care,mental health care,1,1,Samuel Weiss
development for neurological disease therapies,development for neurological disease therapies,1,1,Samuel Weiss
experimental therapeutic strategies for brain cancer,experimental therapeutic strategies for brain cancer,1,1,Samuel Weiss
neural regeneration,neural regeneration,1,1,Samuel Weiss
weiss worked with canadian brain health,weiss worked with canadian brain health,1,1,Samuel Weiss
substance use health,substance use health,1,1,Samuel Weiss
outcomes research in clinical neurosciences,outcomes research in clinical neurosciences,1,1,Samuel Wiebe
randomized neurosurgical trials,randomized neurosurgical trials,1,1,Samuel Wiebe
pass this information on to the brain,pass this information on to the brain,1,1,Sarah McFarlane
occurs in a number of childhood disorders,occurs in a number of childhood disorders,1,1,Sarah McFarlane
fetal alcohol spectrum disorder,fetal alcohol spectrum disorder,1,1,Sarah McFarlane
metabolic disorders such as type ii diabetes,metabolic disorders such as type ii diabetes,1,1,Sarah McFarlane
pigmented cells melanophores of the skin,pigmented cells (melanophores) of the skin,1,1,Sarah McFarlane
semaphorin regulation of retinal neurogenesis,semaphorin regulation of retinal neurogenesis,1,1,Sarah McFarlane
regeneration retinal degenerative diseases such as glaucoma,regeneration retinal degenerative diseases such as glaucoma,1,1,Sarah McFarlane
diabetic retinopathy exhibit devastating vision loss,diabetic retinopathy exhibit devastating vision loss,1,1,Sarah McFarlane
replace lost cells,replace lost cells,1,1,Sarah McFarlane
retinal degenerative diseases such as glaucoma,retinal degenerative diseases such as glaucoma,1,1,Sarah McFarlane
environmental control of neural crest cell migration,environmental control of neural crest cell migration,1,1,Sarah McFarlane
environmental control of neural crest cell migration and proliferation,environmental control of neural crest cell migration and proliferation,1,1,Sarah McFarlane
spinal cord as undifferentiated,spinal cord as undifferentiated,1,1,Sarah McFarlane
proliferative cells,proliferative cells,1,1,Sarah McFarlane
mature into specific cell types,mature into specific cell types,1,1,Sarah McFarlane
cognition in pwms,cognition in pwms,1,1,Sarah Morrow
research cognition in pwms,research cognition in pwms,1,1,Sarah Morrow
digital health,digital health,1,1,Sayeh Bayat
digital biomarkers,digital biomarkers,1,1,Sayeh Bayat
driving behaviours,driving behaviours,1,1,Sayeh Bayat
individuals with dementia,individuals with dementia,1,1,Sayeh Bayat
cities and societies digital worlds health and life,cities and societies digital worlds health and life,1,1,Sayeh Bayat
1 objective quantification of of neurologic deficits,(1) objective quantification of of neurologic deficits,1,1,Scott Jarvis
peripheral neuropathies 2 symptom management in ms,peripheral neuropathies. (2) symptom management in ms,1,1,Scott Jarvis
cellular mechanisms underlying neurodegenerative disease,cellular mechanisms underlying neurodegenerative disease,1,1,Scott Ryan
prognostication of people with parkinson s disease,prognostication of people with parkinson’s disease,1,1,Scott Ryan
novel neuromodulation,novel neuromodulation,1,1,Serena Orr
mental health i,mental health (i,1,1,Serena Orr
direct measurements muscles,direct measurements muscles,1,1,Serge Mrkobrada
safe imaging technique,safe imaging technique,1,1,Serge Mrkobrada
lumbar paraspinal muscles for needle emg localization,lumbar paraspinal muscles for needle emg localization”,1,1,Serge Mrkobrada
safety of the needle emg paraspinal exam,safety of the needle emg paraspinal exam,1,1,Serge Mrkobrada
abnormal findings across different clinical syndromes,abnormal findings across different clinical syndromes,1,1,Serge Mrkobrada
motor neuron disease,motor neuron disease,1,1,Serge Mrkobrada
peripheral nervous system disorders and ultrasound imaging techniques,peripheral nervous system disorders and ultrasound imaging techniques,1,1,Serge Mrkobrada
peripheral nervous system disorders,peripheral nervous system disorders,1,1,Serge Mrkobrada
ultrasound imaging techniques,ultrasound imaging techniques,1,1,Serge Mrkobrada
peripheral nerve regeneration,peripheral nerve regeneration,1,1,Shalina Ousman
mechanisms in multiple sclerosis,mechanisms in multiple sclerosis,1,1,Shalina Ousman
identifying endogenous protective mechanisms in multiple sclerosis,identifying endogenous protective mechanisms in multiple sclerosis,1,1,Shalina Ousman
more information i am looking for graduate students,more information i am looking for graduate students,1,1,Shalina Ousman
potential therapeutics we create,potential therapeutics we create,1,1,Shalina Ousman
prevention of addicitive disorders in youth,prevention of addicitive disorders in youth,1,1,Shawn Currie
system level preformance measurement and studies of the treated prevalence of mental disorders,system-level preformance measurement and studies of the treated prevalence of mental disorders,1,1,Shawn Currie
environmental toxicology,environmental toxicology,1,1,Sheldon Roth
medical pharmacology,medical pharmacology,1,1,Sheldon Roth
mature nervous systems,mature nervous systems,1,1,Sheldon Roth
neuropharmacology environmental toxicology medical pharmacology and anesthetic agents,"neuropharmacology, environmental toxicology, medical pharmacology, and anesthetic agents",1,1,Sheldon Roth
research neuropharmacology,research neuropharmacology,1,1,Sheldon Roth
research areas of research neuropharmacology environmental toxicology medical pharmacology and anesthetic agents,"research areas of research neuropharmacology, environmental toxicology, medical pharmacology, and anesthetic agents",1,1,Sheldon Roth
investigating child mental health outcomes,investigating child mental health outcomes,1,1,Sheri Madigan
caregiver child attachment,caregiver-child attachment,1,1,Sheri Madigan
parenting behaviors,parenting behaviors,1,1,Sheri Madigan
adversity on developmental outcomes,adversity on developmental outcomes,1,1,Sheri Madigan
implementing trauma informed care approaches,implementing trauma-informed care approaches,1,1,Sheri Madigan
digital health solutions,digital health solutions,1,1,Sheri Madigan
community partnerships and digital health solutions,community partnerships and digital health solutions,1,1,Sheri Madigan
how it may support children s learning and sense of connection,how it may support children’s learning and sense of connection,1,1,Sheri Madigan
how it may disrupt family interactions and contribute to children s developmental challenges,how it may disrupt family interactions and contribute to children's developmental challenges,1,1,Sheri Madigan
this focus includes developing and implementing accessible evidence based assessments and digital health solutions,"this focus includes developing and implementing accessible, evidence-based assessments and digital health solutions",1,1,Sheri Madigan
she collaborates with practitioners caregivers youth and community partners,"she collaborates with practitioners, caregivers, youth, and community partners",1,1,Sheri Madigan
madigan serves on the editorial board for jama pediatrics and development psychopathology,madigan serves on the editorial board for jama pediatrics and development & psychopathology,1,1,Sheri Madigan
international advisory board for attachment and human development,international advisory board for attachment and human development,1,1,Sheri Madigan
child mental health parenting and parent child relationships,"child mental health, parenting, and parent-child relationships",1,1,Sheri Madigan
investigating child mental health outcomes caregiver child attachment and parenting behaviors,"investigating child mental health outcomes, caregiver-child attachment, and parenting behaviors",1,1,Sheri Madigan
cope with trauma,cope with trauma,1,1,Sheri Madigan
jama pediatrics,jama pediatrics,1,1,Sheri Madigan
development psychopathology,development & psychopathology,1,1,Sheri Madigan
attachment and human development,attachment and human development,1,1,Sheri Madigan
teen mental health support can learn from cancer care in ontario psychologist says,"teen mental health support can learn from cancer care in ontario, psychologist says",1,1,Sheri Madigan
pandemic s toll on mental health of mothers exceeds fears of researchers lancet study finds,"pandemic’s toll on mental health of mothers exceeds fears of researchers, lancet study finds",1,1,Sheri Madigan
effects of neurodevelopmental disorders on the brain,effects of neurodevelopmental disorders on the brain,1,1,Signe Bray
effects of learning,effects of learning,1,1,Signe Bray
practice on brain activity,practice on brain activity,1,1,Signe Bray
neuromuscular disease,neuromuscular disease,1,1,Stephanie Ann Plamondon
music therapy in healthcare,music therapy in healthcare,1,1,Stephanie Ann Plamondon
studying the practical implementation of music therapy,studying the practical implementation of music therapy,1,1,Stephanie Ann Plamondon
music medicine into clinical care,music medicine into clinical care,1,1,Stephanie Ann Plamondon
child cancer centre including icu,child cancer centre) including icu,1,1,Stephanie Ann Plamondon
acute neuro,acute neuro,1,1,Stephanie Ann Plamondon
jb music therapy inc,jb music therapy inc,1,1,Stephanie Ann Plamondon
virtual health,virtual health,1,1,Stephanie Ann Plamondon
music therapy,music therapy,1,1,Stephanie Ann Plamondon
in the news south health campus arts for wellness concert series,in the news south health campus arts for wellness concert series,1,1,Stephanie Ann Plamondon
south health campus arts for wellness concert series,south health campus arts for wellness concert series,1,1,Stephanie Ann Plamondon
south health campus year round music,south health campus year round music,1,1,Stephanie Ann Plamondon
